Splits,Time,Cumulative.Time,Moving.Time,Distance,Elev.Gain,Elev.Loss,Avg.Pace,Avg.Moving.Pace,Best.Pace,Avg.HR,Max.HR,Avg.Run.Cadence,Max.Run.Cadence,Avg.Stride.Length,Avg.Vertical.Ratio,Avg.Vertical.Oscillation,Avg.GCT.Balance,Avg.Ground.Contact.Time,Calories,Title,Temp,Wind,Weight,Percent.Fat,Percent.Muscle,Mileage.Previous.Week,Shoes
1,07:19.5,07:19.5,7:17,1,--,107,7:19,7:17,6:28,140,150,170,256,1.3,6.9,8.8,49.7% L / 50.3% R,277,95,2016-10-14 20 mil,55,22,167.3,21.3,52.7,47.3,Adrenaline
2,07:35.7,14:55,7:32,1,11,--,7:36,7:32,7:13,147,153,169,183,1.26,6.6,8.6,49.7% L / 50.3% R,282,107,2016-10-14 20 mil,55,22,167.3,21.3,52.7,47.3,Adrenaline
3,07:53.7,22:49,7:48,1,46,29,7:54,7:48,6:58,149,161,168,202,1.22,6.9,8.5,49.6% L / 50.4% R,282,113,2016-10-14 20 mil,55,22,167.3,21.3,52.7,47.3,Adrenaline
4,07:53.1,30:42:00,7:49,1,--,28,7:53,7:49,7:28,150,152,169,182,1.21,6.9,8.5,49.8% L / 50.2% R,282,115,2016-10-14 20 mil,55,22,167.3,21.3,52.7,47.3,Adrenaline
5,07:48.1,38:30:00,7:46,1,5,10,7:48,7:46,7:21,150,153,168,182,1.23,6.8,8.6,49.8% L / 50.2% R,281,113,2016-10-14 20 mil,55,22,167.3,21.3,52.7,47.3,Adrenaline
6,07:38.6,46:09:00,7:35,1,--,--,7:39,7:35,7:07,150,154,169,172,1.25,6.9,8.5,49.7% L / 50.3% R,280,108,2016-10-14 20 mil,55,22,167.3,21.3,52.7,47.3,Adrenaline
7,07:53.4,54:02:00,7:52,1,--,--,7:53,7:52,7:01,152,158,170,175,1.2,6.9,8.4,49.8% L / 50.2% R,280,112,2016-10-14 20 mil,55,22,167.3,21.3,52.7,47.3,Adrenaline
8,07:32.5,1:01:35,7:29,1,16,--,7:33,7:29,7:12,150,158,170,180,1.26,6.7,8.5,49.7% L / 50.3% R,278,98,2016-10-14 20 mil,55,22,167.3,21.3,52.7,47.3,Adrenaline
9,07:48.2,1:09:23,7:45,1,72,29,7:48,7:45,6:46,154,162,171,220,1.21,6.8,8.3,49.7% L / 50.3% R,281,113,2016-10-14 20 mil,55,22,167.3,21.3,52.7,47.3,Adrenaline
10,07:27.2,1:16:50,7:25,1,--,34,7:27,7:25,6:11,154,161,170,204,1.27,6.7,8.6,49.8% L / 50.2% R,277,103,2016-10-14 20 mil,55,22,167.3,21.3,52.7,47.3,Adrenaline
11,07:51.6,1:24:42,7:50,1,25,16,7:52,7:50,7:02,153,164,169,183,1.21,6.9,8.4,49.6% L / 50.4% R,282,107,2016-10-14 20 mil,55,22,167.3,21.3,52.7,47.3,Adrenaline
12,08:30.7,1:33:12,8:29,1,69,65,8:31,8:29,6:59,153,159,170,256,1.15,7.7,8.4,49.8% L / 50.2% R,280,109,2016-10-14 20 mil,55,22,167.3,21.3,52.7,47.3,Adrenaline
13,08:02.2,1:41:14,7:59,1,26,8,8:02,7:59,7:10,154,161,169,183,1.19,7.2,8.7,49.8% L / 50.3% R,279,105,2016-10-14 20 mil,55,22,167.3,21.3,52.7,47.3,Adrenaline
14,08:35.5,1:49:50,8:28,1,97,--,8:35,8:28,7:07,155,163,169,181,1.12,7.6,8.2,49.7% L / 50.3% R,287,111,2016-10-14 20 mil,55,22,167.3,21.3,52.7,47.3,Adrenaline
15,07:41.8,1:57:32,7:36,1,--,4,7:42,7:36,7:16,153,160,169,178,1.24,7,8.6,49.6% L / 50.4% R,280,92,2016-10-14 20 mil,55,22,167.3,21.3,52.7,47.3,Adrenaline
16,07:44.3,2:05:16,7:43,1,3,14,7:44,7:43,7:16,157,161,169,182,1.24,6.9,8.7,50.0% L / 50.0% R,280,108,2016-10-14 20 mil,55,22,167.3,21.3,52.7,47.3,Adrenaline
17,07:56.5,2:13:13,7:55,1,33,--,7:57,7:55,7:28,156,164,169,176,1.2,7.3,8.6,49.9% L / 50.1% R,280,103,2016-10-14 20 mil,55,22,167.3,21.3,52.7,47.3,Adrenaline
18,07:54.7,2:21:07,7:50,1,63,70,7:55,7:50,6:52,157,166,167,180,1.23,7.4,8.9,49.9% L / 50.1% R,285,104,2016-10-14 20 mil,55,22,167.3,21.3,52.7,47.3,Adrenaline
19,07:20.5,2:28:28,7:17,1,--,171,7:20,7:17,6:34,157,162,166,184,1.33,6.8,9.3,49.8% L / 50.2% R,281,91,2016-10-14 20 mil,55,22,167.3,21.3,52.7,47.3,Adrenaline
20,07:50.4,2:36:18,7:46,1,29,--,7:50,7:46,6:50,159,163,166,178,1.25,7.1,9.1,49.8% L / 50.2% R,285,106,2016-10-14 20 mil,55,22,167.3,21.3,52.7,47.3,Adrenaline
21,00:02.4,2:36:21,--,0,--,--,11:41,--,9:59,162,162,158,158,0.87,8.2,7.9,50.1% L / 49.9% R,318,0,2016-10-14 20 mil,55,22,167.3,21.3,52.7,47.3,Adrenaline
